status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000411,60346,Robby Snelling,MIA,AVNyCKp3,Robby Snelling,MIA,Existing registry mapping
MATCHED,0000412,11829,Brandon Williamson,CIN,IBRv87lR,Brandon Williamson,CIN,Existing registry mapping
MATCHED,0000413,12363,Spencer Schwellenbach,ATL,WYvWk3-b,Spencer Schwellenbach,ATL,Existing registry mapping
MATCHED,0000408,65006,Ty Johnson,TB,kK0PlhuZ,Ty Johnson,TB,Existing registry mapping
MATCHED,0000414,65823,Tanner Franklin,STL,92JgKsxM,Tanner Franklin,STL,Existing registry mapping
MATCHED,0000415,60338,Hunter Barco,PIT,cPVc4Xqe,Hunter Barco,PIT,Existing registry mapping
MATCHED,0000416,62989,Charlee Soto,MIN,T_MwtxBv,Charlee Soto,MIN,Existing registry mapping
MATCHED,0000417,65730,Liam Doyle,STL,BosAaL3O,Liam Doyle,STL,Existing registry mapping
MATCHED,0000418,65765,Zachary Root,LAD,zz72cEtz,Zachary Root,LAD,Existing registry mapping
MATCHED,0000419,65754,Riley Quick,MIN,mZHebWVv,Riley Quick,MIN,Existing registry mapping
MATCHED,0000420,12161,Austin Wells,NYY,ttY5tdNJ,Austin Wells,NYY,Existing registry mapping
MATCHED,0000421,60411,Kyle Manzardo,CLE,_psqvG_u,Kyle Manzardo,CLE,Existing registry mapping
NO_MATCH,,11321,Nicky Lopez,TEX,,,,No HKB player found
MATCHED,0000423,62831,Kyle Karros,COL,xixBjgVj,Kyle Karros,COL,Existing registry mapping
MATCHED,0000950,11524,Gabriel Arias,CLE,opJmdZYL,Gabriel Arias,CLE,Existing registry mapping
MATCHED,0000425,12521,James Wood,WSH,j74ZhM3m,James Wood,WSH,Existing registry mapping
MATCHED,0000426,63002,Cole Carrigg,COL,qR686_A6,Cole Carrigg,COL,Existing registry mapping
MATCHED,0000427,12152,Garrett Mitchell,MIL,L_x5QoC0,Garrett Mitchell,MIL,Existing registry mapping
MATCHED,0000430,64311,Travis Bazzana,CLE,ZjqbGJe7,Travis Bazzana,CLE,Existing registry mapping
MATCHED,0000433,12563,Evan Carter,TEX,yOSWSc36,Evan Carter,TEX,Existing registry mapping
MATCHED,0000434,12430,Colt Keith,DET,GitocFgt,Colt Keith,DET,Existing registry mapping
MATCHED,0000431,11090,Nathaniel Lowe,CIN,hIKgkSsh,Nathaniel Lowe,CIN,Existing registry mapping
MATCHED,0000424,64063,Jose Fernandez,AZ,bwAw8eHm,Jose Fernandez,AZ,Existing registry mapping
MATCHED,0000428,65020,James Tibbs III,LAD,TCFp3A0i,James Tibbs III,LAD,Existing registry mapping
MATCHED,0000429,63576,Josue De Paula,LAD,WeqA8yWb,Josue De Paula,LAD,Existing registry mapping
MATCHED,0000432,60143,Angel Genao,CLE,uv3REMnE,Angel Genao,CLE,Existing registry mapping
MATCHED,0000435,62793,Max Anderson,DET,14Jrigbs,Max Anderson,DET,Existing registry mapping
MATCHED,0000951,60581,Tyler Locklear,AZ,E_jpxXB3,Tyler Locklear,AZ,Existing registry mapping
MATCHED,0000422,62798,Brice Matthews,HOU,Fk77eyJQ,Brice Matthews,HOU,Existing registry mapping
MATCHED,0000436,12375,Marcelo Mayer,BOS,f8sa_1xd,Marcelo Mayer,BOS,Existing registry mapping
MATCHED,0000437,9754,Enrique Hernandez,LAD,QCrQ14df,Enrique Hernández,LAD,Existing registry mapping
MATCHED,0000438,64362,Braylon Payne,MIL,pxip8ypg,Braylon Payne,MIL,Existing registry mapping
MATCHED,0000439,65050,Shotaro Morii,ATH,qdoMXcN4,Shotaro Morii,ATH,Existing registry mapping
MATCHED,0000440,63545,Alfredo Duno,CIN,b2JTJZKq,Alfredo Duno,CIN,Existing registry mapping
MATCHED,0000441,63011,Eric Bitonti,MIL,49NJYcXP,Eric Bitonti,MIL,Existing registry mapping
MATCHED,0000442,65724,Eli Willits,WSH,SGhftjpr,Eli Willits,WSH,Existing registry mapping
MATCHED,0000443,65756,Andrew Fischer,MIL,jAvGGn4Q,Andrew Fischer,MIL,Existing registry mapping
MATCHED,0000444,65784,Jaden Fauske,CWS,38eD4Wd0,Jaden Fauske,CWS,Existing registry mapping
MATCHED,0000445,62977,Rhett Lowder,CIN,g7sjaWTZ,Rhett Lowder,CIN,Existing registry mapping
MATCHED,0000448,62899,Bishop Letson,MIL,aJaTiHLT,Bishop Letson,MIL,Existing registry mapping
MATCHED,0000449,10576,Eric Lauer,LAD,WqG8u71n,Eric Lauer,LAD,Existing registry mapping
MATCHED,0000456,11428,Dean Kremer,BAL,hAAhAshg,Dean Kremer,BAL,Existing registry mapping
MATCHED,0000455,12418,Sean Burke,CWS,c05DZx3n,Sean Burke,CWS,Existing registry mapping
MATCHED,0000446,64316,Chase Burns,CIN,OaD91YmB,Chase Burns,CIN,Existing registry mapping
MATCHED,0000450,63485,Will Klein,LAD,ai1P3gAF,Will Klein,LAD,Existing registry mapping
MATCHED,0000452,12727,Brent Headrick,NYY,aTyydCYy,Brent Headrick,NYY,Existing registry mapping
MATCHED,0000451,9262,Brooks Raley,NYM,CMgOhy5m,Brooks Raley,NYM,Existing registry mapping
MATCHED,0000454,10691,Emilio Pagan,CIN,ilSvC2g5,Emilio Pagan,CIN,Existing registry mapping
MATCHED,0000447,60119,Jackson Ferris,LAD,NUuvqFD3,Jackson Ferris,LAD,Existing registry mapping
MATCHED,0000457,12497,Hayden Wesneski,HOU,ebnEmGtS,Hayden Wesneski,HOU,Existing registry mapping
